THUMB_POS_X,THUMB_POS_Y,THUMB_POS_Z,INDEX_POS_X,INDEX_POS_Y,INDEX_POS_Z,MIDDLE_POS_X,MIDDLE_POS_Y,MIDDLE_POS_Z,RING_POS_X,RING_POS_Y,RING_POS_Z,PINKY_POS_X,PINKY_POS_Y,PINKY_POS_Z,THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
-0.009113498,0.1038955,-0.01396176,-0.02694998,0.01807359,-0.03339696,-0.02970273,0.00701645,-0.0358445,-0.02469793,-0.007036775,-0.02926478,-0.02624182,-0.01962891,-0.01945129,58.0944,14.28515,18.99059,24.00052,THUMB
-0.009459883,0.1036692,-0.01421532,-0.02706739,0.01784137,-0.03355998,-0.02966953,0.006793141,-0.03593144,-0.02460656,-0.007219821,-0.02929056,-0.02615849,-0.01973403,-0.01942912,58.20909,14.2,18.9882,23.95895,THUMB
-0.009232327,0.1034803,-0.01449099,-0.02688818,0.01771826,-0.03358102,-0.02938303,0.006534457,-0.03584787,-0.02442421,-0.007411718,-0.02905986,-0.02610539,-0.01984891,-0.01912719,58.24668,14.37453,19.0853,24.08445,THUMB
-0.008554578,0.1030582,-0.01323444,-0.02601746,0.01757795,-0.03335387,-0.02798166,0.005908638,-0.03549093,-0.02334408,-0.007755876,-0.02837256,-0.02547209,-0.02003542,-0.0184294,58.77804,15.11926,19.40448,24.59891,THUMB
-0.008436128,0.1027752,-0.01320446,-0.0255065,0.01722249,-0.03363943,-0.02714436,0.005400091,-0.0357542,-0.02264748,-0.008058459,-0.02836776,-0.02497154,-0.02013642,-0.01836038,59.16776,15.3342,19.42575,24.69475,THUMB
-0.008373652,0.1026688,-0.01349586,-0.02529621,0.01711228,-0.03382298,-0.02683573,0.00524804,-0.03591713,-0.02239685,-0.008149445,-0.02840552,-0.02480409,-0.02014768,-0.01836586,59.18614,15.37953,19.42885,24.72107,THUMB
-0.008383278,0.1025679,-0.01655403,-0.02529179,0.0166944,-0.03505296,-0.02698825,0.005311579,-0.03701755,-0.02279432,-0.007850707,-0.02948639,-0.02482815,-0.01967692,-0.01912364,58.76343,14.50664,18.57808,24.32326,THUMB
-0.009014677,0.1024462,-0.01843122,-0.0260843,0.01652697,-0.03538507,-0.02792126,0.005407333,-0.03721848,-0.0238363,-0.007723629,-0.02981523,-0.02542835,-0.01948681,-0.01923999,58.27189,13.98264,18.1527,23.93253,THUMB
-0.009853788,0.1022695,-0.01897353,-0.0266832,0.01636341,-0.03535658,-0.02851506,0.005334377,-0.03707021,-0.0244891,-0.007797599,-0.02974951,-0.02580264,-0.01953319,-0.01912123,58.09866,13.77754,18.04558,23.70845,THUMB
-0.01106628,0.1021568,-0.01866543,-0.02797818,0.01670679,-0.03516951,-0.02993075,0.005984515,-0.03683326,-0.02621508,-0.00733164,-0.02996647,-0.02701421,-0.01916173,-0.01943666,57.73867,13.21852,17.74203,22.99776,THUMB
-0.01153928,0.1022698,-0.01788142,-0.02844305,0.01697791,-0.0349887,-0.03041032,0.006405115,-0.03674024,-0.02680263,-0.007018149,-0.03018332,-0.02744357,-0.01893294,-0.01978627,57.68988,12.99282,17.62378,22.67819,THUMB
-0.01165703,0.1023279,-0.01754224,-0.02849028,0.01717815,-0.03489271,-0.03046603,0.006637931,-0.03668877,-0.02690734,-0.006854296,-0.03023499,-0.02754134,-0.01884294,-0.01991642,57.55694,12.95784,17.64449,22.6377,THUMB
-0.0105149,0.1027605,-0.01685217,-0.02748584,0.01737952,-0.03448141,-0.02954962,0.006629288,-0.03661197,-0.02573604,-0.006902039,-0.03010252,-0.02686111,-0.01905859,-0.01988992,57.62811,13.49485,17.97884,23.20984,THUMB
-0.009787971,0.1029435,-0.01734525,-0.02719071,0.01723546,-0.03475136,-0.02943627,0.006526679,-0.03693444,-0.02538995,-0.006976336,-0.03036094,-0.02658071,-0.01912227,-0.0200347,57.84919,13.47724,17.91507,23.33282,THUMB
-0.00950088,0.1030262,-0.01743373,-0.02706415,0.01720923,-0.0348295,-0.02937089,0.006510496,-0.03702241,-0.02524018,-0.006984442,-0.0304237,-0.02646381,-0.01913655,-0.02006871,57.93394,13.48109,17.90744,23.40038,THUMB
-0.007993229,0.1032997,-0.01658088,-0.02670347,0.01706928,-0.03487489,-0.0290499,0.006207347,-0.0371643,-0.02487297,-0.007187366,-0.03042495,-0.0263234,-0.01920304,-0.01999232,58.88775,13.75099,17.90465,23.45396,THUMB
-0.007344909,0.1032705,-0.01607192,-0.02657252,0.01692298,-0.03486657,-0.0289585,0.005884796,-0.03725213,-0.0248099,-0.007430524,-0.03035104,-0.0263595,-0.01929462,-0.01978204,59.44036,14.00907,17.89691,23.46153,THUMB
-0.006592248,0.103353,-0.01569495,-0.02662225,0.01702133,-0.03504011,-0.02914837,0.006097764,-0.037536,-0.02509658,-0.007175177,-0.03065348,-0.02665089,-0.018929,-0.01998654,59.81873,13.84692,17.63883,23.25087,THUMB
-0.005975965,0.1033857,-0.01578358,-0.02669439,0.01697817,-0.03534144,-0.02933028,0.006130993,-0.03792006,-0.02525789,-0.007075518,-0.03098682,-0.02677824,-0.01863736,-0.02017528,60.15632,13.70055,17.38604,23.01251,THUMB
-0.005446829,0.1035473,-0.01589081,-0.02695169,0.01724154,-0.03615236,-0.02969598,0.006715268,-0.03884584,-0.02562864,-0.00651297,-0.03209376,-0.02700123,-0.0180082,-0.02116776,60.33313,13.1217,16.87404,22.50232,THUMB
-0.005042646,0.1034341,-0.01681882,-0.02738488,0.01714718,-0.0368399,-0.03031934,0.006833375,-0.03970659,-0.02623863,-0.006382167,-0.03289804,-0.02754546,-0.01759735,-0.02170664,60.50271,12.71473,16.45698,21.93029,THUMB
-0.004138194,0.1033477,-0.01893541,-0.02749365,0.01698267,-0.03804189,-0.03064279,0.006993651,-0.04095519,-0.0265195,-0.006296724,-0.03398359,-0.02782489,-0.01728976,-0.02258757,60.44061,12.1401,16.13803,21.36205,THUMB
-0.001824759,0.1032808,-0.0205864,-0.02734902,0.01737982,-0.03818762,-0.03077591,0.007615298,-0.04097521,-0.02673325,-0.005840063,-0.03386515,-0.02832109,-0.01665115,-0.02248645,60.0819,11.91907,16.21935,21.217,THUMB
-0.001540173,0.103018,-0.02241918,-0.02773106,0.01683626,-0.03813908,-0.03122617,0.00713256,-0.04083946,-0.02698861,-0.006312162,-0.03351787,-0.02856381,-0.01689765,-0.02207071,60.09441,11.82577,16.30677,21.09517,THUMB
0.002018236,0.1028579,-0.02278739,-0.0264961,0.01820448,-0.03669503,-0.03028406,0.008256465,-0.03929052,-0.0255073,-0.00579986,-0.03127542,-0.02806404,-0.01647115,-0.02039269,58.90093,12.57932,17.69722,22.2527,THUMB
0.003401909,0.1026064,-0.02416927,-0.02513487,0.01818606,-0.0357388,-0.02885538,0.007994175,-0.03831065,-0.02366405,-0.006158799,-0.02957928,-0.02708589,-0.01677075,-0.01931384,58.01065,13.25709,18.77171,23.05752,THUMB
0.00328671,0.101244,-0.02831137,-0.02481644,0.01660699,-0.03552884,-0.02839133,0.005968302,-0.03754514,-0.02287198,-0.007738769,-0.02785057,-0.02657232,-0.01798314,-0.01736227,57.73809,13.89892,19.47999,23.78884,THUMB
0.004264845,0.1002407,-0.03100914,-0.0244313,0.01563039,-0.03583953,-0.02779306,0.004690915,-0.03744802,-0.02212932,-0.008709639,-0.02691254,-0.02612352,-0.018655,-0.01628932,57.88461,14.24971,19.97953,24.22619,THUMB
0.005555378,0.09937379,-0.03289381,-0.02401492,0.01467785,-0.03708166,-0.0268393,0.003577113,-0.03823036,-0.02113669,-0.009667367,-0.02678931,-0.02536841,-0.01921245,-0.01590696,58.566,14.15508,20.44402,24.51148,THUMB
0.007509477,0.09908813,-0.0326463,-0.02340995,0.01454958,-0.03849992,-0.02588775,0.003449053,-0.03967446,-0.02034871,-0.009920359,-0.02748546,-0.02481027,-0.01899713,-0.01644996,59.37734,13.84683,20.61514,24.36513,THUMB
0.009854911,0.09991528,-0.03046992,-0.02228994,0.01552776,-0.03944409,-0.02452851,0.00452897,-0.04101339,-0.01912146,-0.00938797,-0.02842453,-0.02391232,-0.01846001,-0.01763844,59.72162,13.57406,20.95747,24.36323,THUMB
0.01171442,0.09963045,-0.03185207,-0.02250099,0.01541421,-0.03995857,-0.02488624,0.004557878,-0.04158017,-0.01950278,-0.009352624,-0.02889919,-0.0242255,-0.01817873,-0.01774505,60.01458,13.2883,20.62179,24.25087,THUMB
0.01287303,0.09918851,-0.03299588,-0.02278059,0.01463565,-0.04066673,-0.02525789,0.003940165,-0.04227567,-0.01982436,-0.009745598,-0.02934569,-0.02447824,-0.01821736,-0.01788479,60.92868,12.95215,20.20831,23.90754,THUMB
0.01462777,0.09873903,-0.03380942,-0.02220928,0.01368734,-0.04224747,-0.02478582,0.003204733,-0.04399455,-0.01942115,-0.01032177,-0.03050733,-0.02425583,-0.01837584,-0.01882085,62.02097,12.4778,19.79733,23.4067,THUMB
0.015995,0.09812644,-0.03492483,-0.02192025,0.01239747,-0.04402515,-0.02457704,0.002117127,-0.04583043,-0.01906801,-0.01118019,-0.03155407,-0.02403844,-0.01879019,-0.01955682,63.27558,11.94068,19.41943,22.96563,THUMB
0.01674322,0.09731507,-0.03659031,-0.0224118,0.01092869,-0.04590091,-0.0252513,0.000831753,-0.04767144,-0.01932088,-0.01220053,-0.03260493,-0.02418349,-0.01936424,-0.02008694,64.50398,11.3483,18.92082,22.47415,THUMB
