THUMB_POS_X,THUMB_POS_Y,THUMB_POS_Z,INDEX_POS_X,INDEX_POS_Y,INDEX_POS_Z,MIDDLE_POS_X,MIDDLE_POS_Y,MIDDLE_POS_Z,RING_POS_X,RING_POS_Y,RING_POS_Z,PINKY_POS_X,PINKY_POS_Y,PINKY_POS_Z,THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
-0.07012111,0.05467403,-0.0157111,-0.05381957,0.03207576,0.02088869,-0.03196368,0.114947,0.002073348,0.01819364,0.1189444,-0.009306848,0.04379838,0.09584835,0.01980588,29.32034,46.24025,24.81503,21.82668,COOL
-0.06992666,0.05272457,-0.02040863,-0.05688133,0.02959147,0.01427376,-0.03858862,0.1120364,0.001023054,0.0114798,0.1194629,-0.005421877,0.03197252,0.09781355,0.02604482,27.3529,44.78337,24.6802,20.93218,COOL
-0.06732202,0.0530459,-0.02098569,-0.0576334,0.02715549,0.01061809,-0.06317527,0.04990783,0.01541677,0.006184295,0.1195754,0.0005688369,0.02493238,0.09827405,0.03138083,26.56677,12.94729,55.31245,20.24107,COOL
-0.06710285,0.05315596,-0.02070218,-0.05844827,0.02584994,0.008446783,-0.06105214,0.04942691,0.01342499,0.001472887,0.1186329,0.003400505,0.01960469,0.09725398,0.03377807,25.57792,15.11855,52.02983,20.10344,COOL
-0.06305023,0.05316943,-0.02183992,-0.0592716,0.019416,-0.001038253,-0.06081397,0.02348322,0.007267922,-0.01377388,0.1152431,0.01863462,0.002652954,0.09257761,0.04702374,25.78797,7.895507,61.4985,19.51183,COOL
-0.06382173,0.05112138,-0.01239485,-0.06107295,0.01468733,0.00470072,-0.06329516,0.01794821,0.01340327,-0.02005585,0.1117368,0.03486991,-0.00531178,0.08773634,0.06195676,28.22105,7.587731,62.00893,19.06664,COOL
-0.05883534,0.05199632,-0.01916495,-0.05676233,0.01589972,-0.01586908,-0.0652465,0.02426237,-0.005533069,-0.02710731,0.1079829,0.04180011,-0.02227996,0.07775778,0.06475735,25.03299,11.51379,59.95953,18.17555,COOL
-0.05766385,0.05063224,-0.02528119,-0.05440818,0.02268139,-0.02625197,-0.06106812,0.08859298,0.003375769,-0.03146802,0.1055911,0.05047125,-0.03452148,0.06941804,0.07261467,18.31434,40.99184,28.6735,20.20359,COOL
-0.06053275,0.04854694,-0.02164978,-0.05720282,0.02128893,-0.02289671,-0.06257112,0.0914762,0.008903891,-0.03441656,0.1036075,0.05477896,-0.03787257,0.06709889,0.07699805,18.09432,42.74605,26.83114,20.36808,COOL
-0.05373444,0.04806989,-0.03086945,-0.04607109,0.03031486,-0.03763792,-0.0465205,0.1123096,0.02686605,-0.04317564,0.09689167,0.06103233,-0.05284668,0.05591118,0.0760465,13.36976,56.92291,17.50889,21.228,COOL
-0.05471572,0.04579753,-0.03053349,-0.04518973,0.03172582,-0.03748539,-0.04690155,0.1122801,0.03526095,-0.04315104,0.09327948,0.06712753,-0.05297358,0.05092031,0.08029562,11.79772,58.95768,17.10071,21.56524,COOL
-0.05526564,0.04384285,-0.03053659,-0.0444936,0.03374794,-0.03760728,-0.04035509,0.1135182,0.04427996,-0.03881241,0.09214619,0.07114848,-0.04938365,0.04888409,0.08302534,10.60716,62.71722,15.5237,21.88874,COOL
-0.05696446,0.04235345,-0.02871987,-0.0458363,0.0318526,-0.03515035,-0.04873678,0.1090021,0.04505301,-0.04233193,0.08755392,0.07550684,-0.0516975,0.04374409,0.08610007,10.30194,60.67955,17.2177,21.83313,COOL
-0.0618948,0.03785256,-0.02760738,-0.04824776,0.03034067,-0.0342803,-0.06023788,0.1027416,0.0433135,-0.04398144,0.0833247,0.07789162,-0.04825837,0.03796622,0.08826852,10.21282,57.41924,19.71817,22.30242,COOL
-0.06447253,0.03609291,-0.02631634,-0.0505326,0.02791235,-0.03361923,-0.06291635,0.1012901,0.04343361,-0.0464329,0.08240297,0.07767662,-0.0496377,0.03676561,0.08860019,10.61484,57.57014,19.49371,22.45985,COOL
-0.06551574,0.03546816,-0.02625731,-0.05157581,0.0272876,-0.03356013,-0.06395956,0.1006654,0.04349267,-0.04747611,0.0817782,0.07773575,-0.05068091,0.03614083,0.08865929,10.50259,57.54195,19.48748,22.4731,COOL
-0.06743819,0.03416121,-0.02194893,-0.05275328,0.02534613,-0.02994132,-0.06315474,0.1007663,0.04325417,-0.04362156,0.0847379,0.07543132,-0.0424913,0.04048824,0.08935124,10.96033,56.50843,18.84439,22.27155,COOL
-0.07569516,0.0239912,-0.009496331,-0.06130628,0.008510798,-0.02035502,-0.07345397,0.09402129,0.04410943,-0.05555902,0.08164898,0.07053974,-0.04378106,0.04073298,0.08830014,14.78539,57.88974,15.60238,22.15728,COOL
-0.0773314,0.02114061,-0.001112342,-0.06311981,0.003828377,-0.01315388,-0.07443082,0.08936873,0.0508748,-0.05551929,0.07703683,0.07432872,-0.04049926,0.03803399,0.09024173,16.05007,57.78521,14.82687,21.54882,COOL
-0.07751241,0.02232203,-0.0008075535,-0.06295624,0.003710896,-0.01294789,-0.07529597,0.0879373,0.0513804,-0.05710213,0.07514083,0.07436821,-0.04239079,0.03619811,0.08929867,16.74473,57.33277,14.58555,21.33879,COOL
-0.07821553,0.01957479,0.0076406,-0.06431459,-0.0005654097,-0.005505979,-0.07476244,0.0841372,0.05707026,-0.05505204,0.07256177,0.07734045,-0.03901719,0.03574336,0.08990267,17.81779,56.91825,13.94141,20.24687,COOL
-0.07850563,0.01907283,0.01039642,-0.06441152,-0.002383977,-0.00238651,-0.07575845,0.08170313,0.0577603,-0.05421371,0.0733386,0.07670307,-0.03813057,0.03759387,0.08847916,18.3611,55.82502,13.71471,19.59186,COOL
-0.07895377,0.01898959,0.01412648,-0.06436004,-0.003978759,0.003038138,-0.08081132,0.07289788,0.05624241,-0.05072333,0.07575947,0.07618472,-0.03275147,0.04299116,0.08759254,18.40121,50.0144,17.17106,18.57788,COOL
-0.07901911,0.02072999,0.01652411,-0.064347,-0.003214747,0.006933331,-0.08711126,0.04493138,0.04652068,-0.04544511,0.07939065,0.07578447,-0.02693707,0.04791924,0.08699918,18.13503,34.65129,30.96593,18.07505,COOL
-0.07752913,0.02251005,0.02100331,-0.06399184,-0.002041757,0.01061428,-0.08155093,0.03041214,0.04073739,-0.03781459,0.08367595,0.07596493,-0.0199267,0.05232006,0.0865069,18.35723,26.34504,40.38658,17.63457,COOL
-0.07628734,0.02440625,0.024625,-0.0636436,-0.000995338,0.01496172,-0.07626281,0.02200088,0.0385713,-0.0300252,0.08854654,0.07447562,-0.01146258,0.05774486,0.08506653,18.3888,20.38576,47.6187,17.51632,COOL
-0.07628734,0.02440625,0.024625,-0.0636436,-0.000995338,0.01496172,-0.07626281,0.02200088,0.0385713,-0.0300252,0.08854654,0.07447562,-0.01146258,0.05774486,0.08506653,18.3888,20.38576,47.6187,17.51632,COOL
-0.07389443,0.02939966,0.02942103,-0.0624837,0.003177941,0.02337056,-0.07016519,0.01772881,0.04136151,-0.01423974,0.09894949,0.06703165,0.009359688,0.07037109,0.07823959,17.59812,13.76703,56.57949,18.27509,COOL
-0.07256802,0.03230876,0.03072664,-0.06205359,0.006132632,0.02783507,-0.06761171,0.01976147,0.0441992,-0.007534631,0.1040415,0.06070334,0.01970555,0.07618976,0.07192361,17.18022,12.35978,58.47052,19.29456,COOL
-0.07060313,0.03554979,0.03202793,-0.06121195,0.009384334,0.03190601,-0.0646533,0.02205834,0.04657811,-0.001920477,0.1081796,0.05370671,0.02891878,0.08043846,0.0647825,17.15447,11.1716,59.87838,20.62033,COOL
-0.06880375,0.03871804,0.03342986,-0.05925105,0.01214632,0.035716,-0.06122152,0.02516088,0.04932305,0.003100473,0.1110671,0.04728535,0.03737713,0.08277199,0.05800366,17.57916,10.84203,60.31079,22.15549,COOL
-0.0671276,0.04216719,0.03396103,-0.0567908,0.01453105,0.03858688,-0.05813062,0.02986723,0.05159691,0.007538028,0.1131831,0.04101697,0.04459092,0.08400241,0.05151707,18.6267,11.50874,59.75802,23.5838,COOL
-0.0671276,0.04216719,0.03396103,-0.0567908,0.01453105,0.03858688,-0.05813062,0.02986723,0.05159691,0.007538028,0.1131831,0.04101697,0.04459092,0.08400241,0.05151707,18.6267,11.50874,59.75802,23.5838,COOL
-0.06632608,0.04893485,0.03128257,-0.05097345,0.01753885,0.04195198,-0.05361706,0.05221194,0.05557731,0.01585297,0.1147358,0.03165096,0.05507726,0.08303899,0.04294243,22.79985,20.08228,51.94431,25.49283,COOL
-0.06663515,0.05146253,0.02834469,-0.04938499,0.0188432,0.04239812,-0.05109538,0.06371653,0.05445251,0.01784454,0.1148501,0.02867925,0.05770858,0.08231226,0.04087201,24.85184,24.9111,47.31,26.2085,COOL
-0.06798805,0.05292863,0.02427456,-0.0487968,0.0195446,0.04195881,-0.04925032,0.07203782,0.05172285,0.01814967,0.1149346,0.02680075,0.05834848,0.08216441,0.04021543,26.87084,28.75423,43.59755,26.64085,COOL
-0.06985734,0.05325395,0.01980034,-0.04913796,0.01991168,0.04090944,-0.04901173,0.07804355,0.04874924,0.0168922,0.1151735,0.02557814,0.05723923,0.08294338,0.04026395,28.42557,31.44205,40.78983,26.75134,COOL
-0.07162273,0.05307242,0.01520023,-0.04981273,0.02002779,0.03938183,-0.04965575,0.08053049,0.04582679,0.0153647,0.1156361,0.02415872,0.05559925,0.08413047,0.0402576,29.71683,32.68574,39.54852,26.70432,COOL
-0.07162273,0.05307242,0.01520023,-0.04981273,0.02002779,0.03938183,-0.04965575,0.08053049,0.04582679,0.0153647,0.1156361,0.02415872,0.05559925,0.08413047,0.0402576,29.71683,32.68574,39.54852,26.70432,COOL
-0.07553014,0.05077851,0.005943507,-0.05165651,0.01860118,0.03534392,-0.05364646,0.0793176,0.04075941,0.01000644,0.1168111,0.02119637,0.04805574,0.08836895,0.03990012,31.89552,33.18362,39.31761,25.37228,COOL
-0.07666485,0.04962441,0.003214985,-0.05286943,0.01806194,0.03344816,-0.05632965,0.07669005,0.03926772,0.007612891,0.1172625,0.02040294,0.04444575,0.08996576,0.04010001,31.80243,32.12504,40.28727,24.73104,COOL
-0.07716434,0.04865491,-0.00125891,-0.05418703,0.0170013,0.03016394,-0.05989795,0.06964517,0.03737649,0.004307248,0.117383,0.02063435,0.03934529,0.09106508,0.04224911,32.08615,29.37846,42.72657,24.18138,COOL
-0.07633901,0.04815659,-0.004540771,-0.05591368,0.01610863,0.0249255,-0.06245225,0.05449346,0.03353503,0.001306836,0.1180601,0.01882023,0.03232294,0.09299952,0.0428457,30.46527,23.1122,49.21378,22.87282,COOL
-0.07466356,0.04837033,-0.005347908,-0.05705483,0.01557252,0.02058572,-0.06305338,0.04591477,0.0291898,-9.581074E-05,0.118458,0.01922837,0.02744378,0.0936009,0.04446316,28.536,19.5909,53.06174,21.85374,COOL
-0.07382812,0.04822144,-0.006481111,-0.05784631,0.01517138,0.0173119,-0.06353773,0.04166406,0.02566648,-0.00182974,0.1185701,0.01960236,0.02361577,0.09392157,0.04571262,27.33589,17.87834,54.77738,21.34045,COOL
-0.07375652,0.04819739,-0.006619334,-0.05788999,0.01513061,0.01701126,-0.06355077,0.04131925,0.02534682,-0.001959298,0.118568,0.01958811,0.02332837,0.09393638,0.04576242,27.24699,17.74874,54.92694,21.30571,COOL
-0.07451522,0.04729927,-0.007540107,-0.05976871,0.01387879,0.01362291,-0.06620053,0.03745428,0.02235591,-0.006501451,0.1182635,0.02118549,0.01650813,0.09394607,0.04796514,25.92228,16.36256,56.00455,20.67198,COOL
-0.07021277,0.04774582,-0.005663604,-0.06032661,0.01498169,0.008905113,-0.06528677,0.0312295,0.01733357,-0.009852707,0.1180338,0.01965076,0.008776352,0.09479088,0.04646018,23.49494,12.58364,58.48856,19.14082,COOL
-0.06875259,0.04826987,-0.00689289,-0.06138626,0.01562771,0.005936295,-0.06553689,0.02850455,0.01437747,-0.01282853,0.1171467,0.02071705,0.004440185,0.09413695,0.04750335,23.06408,10.92847,59.11265,18.78907,COOL
-0.06817861,0.04832414,-0.005818993,-0.0614887,0.0155777,0.005018651,-0.06485359,0.02559346,0.01364297,-0.01498192,0.1163977,0.02182916,0.00142704,0.09345523,0.04782709,22.7434,9.767447,59.93586,18.27855,COOL
-0.06592801,0.04898623,-0.007948279,-0.05989898,0.01530549,0.003681093,-0.06364929,0.02386612,0.0121645,-0.01748714,0.1151574,0.02311894,-0.0007905699,0.09283954,0.04917434,23.97988,9.138628,59.65723,18.34703,COOL
-0.06329592,0.04861212,-0.005911708,-0.05726688,0.01493138,0.005717695,-0.06101719,0.02349201,0.01420113,-0.01485504,0.1147833,0.02515548,0.001841523,0.09246546,0.05121091,24.87445,9.265396,60.01859,18.49758,COOL
-0.06443343,0.0491581,-0.007244617,-0.06072263,0.01296091,0.0002723038,-0.06384722,0.01722109,0.00889942,-0.02735832,0.1111796,0.02977574,-0.01207027,0.08836168,0.05388629,25.82229,8.011213,60.17222,17.46622,COOL
-0.06164285,0.0485701,-0.006749511,-0.05890641,0.01188332,-0.004767895,-0.06289355,0.01558167,0.004097581,-0.03110938,0.1061011,0.04327682,-0.02065441,0.07933807,0.06583121,26.73994,8.531658,60.57571,17.45327,COOL
-0.05698696,0.05272275,-0.01774868,-0.05532785,0.01583219,-0.01802918,-0.06449519,0.02214375,-0.008516252,-0.03242282,0.1030442,0.05011523,-0.03082659,0.07048437,0.07004771,26.24272,10.67997,61.17053,18.15635,COOL
-0.05411335,0.05362853,-0.01735428,-0.05356893,0.01833957,-0.01579386,-0.06375896,0.03805622,-0.003060639,-0.03124037,0.09991911,0.05698192,-0.03177338,0.06612799,0.07613674,25.18769,17.69666,50.61971,18.68089,COOL
-0.04836607,0.05914024,-0.02671462,-0.04963326,0.03224024,-0.0272463,-0.04576012,0.08362111,0.003578752,-0.02788546,0.1031386,0.0539591,-0.0359303,0.06673121,0.07216933,17.28855,38.41684,27.86603,19.89766,COOL
-0.04700323,0.05969545,-0.02770916,-0.04841124,0.03433648,-0.02832079,-0.04148211,0.09012651,0.006000519,-0.02640478,0.1035706,0.05433843,-0.03586125,0.0668422,0.07268918,16.09762,41.00393,25.51187,20.2344,COOL
-0.04644741,0.05984551,-0.02792844,-0.04790298,0.03502148,-0.02856791,-0.03986682,0.09232408,0.006985456,-0.02580641,0.1036754,0.05459824,-0.03575242,0.06683478,0.07299736,15.71101,41.87323,24.77176,20.35696,COOL
-0.04531582,0.06077719,-0.02996472,-0.04605944,0.03989688,-0.02949443,-0.01820709,0.120409,0.02646255,-0.01829684,0.1046567,0.05759317,-0.03071671,0.06657264,0.07705429,12.114,54.80911,16.2481,21.40656,COOL
-0.0440942,0.06086183,-0.02953824,-0.04484194,0.04001302,-0.02890909,-0.01509862,0.1215392,0.02892637,-0.01665551,0.1042965,0.05877686,-0.02931816,0.06612083,0.07813805,12.06407,55.90984,15.91496,21.46543,COOL
-0.04258337,0.06294599,-0.0326294,-0.04402056,0.04516736,-0.02935866,-0.003675494,0.1243694,0.02937183,-0.003561992,0.1061544,0.05886829,-0.01849929,0.06825441,0.08002567,9.453176,56.43796,15.71623,22.02411,COOL
-0.0390147,0.06362495,-0.03349975,-0.04158264,0.04502296,-0.02915502,0.001639254,0.1243567,0.02628663,0.003075961,0.1065139,0.0564976,-0.01153258,0.06934202,0.07837993,10.24987,56.47851,16.02026,21.93879,COOL
-0.03822909,0.06604323,-0.03435937,-0.04293738,0.04639909,-0.02790064,0.00244369,0.1251706,0.02526444,0.00147767,0.1075852,0.05548012,-0.01324825,0.07194299,0.0762713,11.61854,55.50635,15.87121,20.89736,COOL
-0.03692156,0.06652266,-0.03493398,-0.04160763,0.04626808,-0.02859122,0.003063645,0.1251096,0.02521297,0.0009149797,0.1075276,0.05561474,-0.01453168,0.07219836,0.07562861,11.74811,55.59037,15.98019,20.68145,COOL
-0.03646078,0.06630999,-0.03572628,-0.04072376,0.04611108,-0.02956563,0.002415165,0.1251823,0.02460456,-0.0002491996,0.1076095,0.05562249,-0.0161081,0.07242316,0.07501766,11.41898,55.3927,16.258,20.51804,COOL
-0.0360851,0.06576762,-0.03595918,-0.0395017,0.04587305,-0.03101927,0.001018394,0.1251,0.02489346,-0.00218204,0.1073169,0.05662733,-0.0186934,0.07210654,0.07502604,10.83565,55.40511,16.63083,20.3807,COOL
