THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
64.71297,12.52546,16.42778,19.1305,THUMB
65.52326,12.58713,16.24687,18.97293,THUMB
65.84259,12.85438,16.33056,19.09946,THUMB
65.44527,13.45662,16.75933,19.54222,THUMB
65.7444,13.40252,16.85491,19.60126,THUMB
66.21598,12.76228,16.58927,19.15299,THUMB
66.01442,12.96642,16.7131,19.3659,THUMB
65.39478,12.94514,16.84251,19.71688,THUMB
63.51661,12.80427,16.82726,19.89702,THUMB
61.91549,12.80634,16.95384,20.03411,THUMB
60.48722,12.886,17.1681,20.2391,THUMB
60.69918,12.8875,17.22035,20.35012,THUMB
60.61306,12.82452,17.16516,20.2177,THUMB
60.6029,12.59938,17.10621,20.06388,THUMB
60.58648,12.64444,17.13663,20.02419,THUMB
59.83764,12.95357,17.49368,20.37702,THUMB
60.20394,12.89515,17.58378,20.45477,THUMB
60.88464,12.98942,17.73392,20.82445,THUMB
60.66412,13.59336,18.48757,21.71154,THUMB
58.65317,15.30671,20.31529,23.07942,THUMB
56.26208,16.9028,22.38001,24.86966,THUMB
54.99739,18.11338,23.69326,25.56637,THUMB
55.1673,18.03429,24.01427,26.77556,THUMB
57.32316,17.33082,23.43017,27.2681,THUMB
57.79468,17.40681,23.24765,27.58707,THUMB
58.33891,16.45852,23.29006,27.48439,THUMB
58.70182,16.41494,24.55565,27.02703,THUMB
58.14679,16.89363,24.84166,27.19406,THUMB
57.09117,17.613,24.55109,27.11384,THUMB
55.26448,18.35413,24.32145,27.05805,THUMB
53.72535,19.55454,24.82266,27.56084,THUMB
51.83316,20.21933,24.23815,29.79548,THUMB
50.24113,20.3236,26.57397,28.41401,THUMB
49.27791,20.197,27.58295,27.68718,THUMB
48.97234,19.74356,27.44316,28.19892,THUMB
50.82415,18.84307,25.57677,28.93343,THUMB
52.91685,17.35389,24.39451,27.70992,THUMB
53.65361,17.18629,23.07877,26.79611,THUMB
55.25323,17.17971,22.15125,24.81446,THUMB
56.78723,15.30976,20.81494,23.87592,THUMB
58.35812,13.55793,18.85088,22.44058,THUMB
58.63458,12.85636,17.8639,21.56726,THUMB
59.01065,12.34953,17.21262,20.86562,THUMB
58.67286,12.01592,16.85932,20.22002,THUMB
57.57811,12.48372,17.17023,20.54089,THUMB
58.20669,12.92638,17.99573,21.54598,THUMB
60.21222,12.42773,17.95219,21.69032,THUMB
