THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
32.77207,51.44975,21.3407,21.06395,COOL
33.73167,54.96373,19.53256,20.19857,COOL
33.73939,57.93056,17.70266,19.78905,COOL
31.08737,59.41311,16.05303,19.6907,COOL
28.03241,58.82988,15.61558,20.08483,COOL
22.64886,56.55983,15.03771,20.13184,COOL
19.11451,54.66118,14.6783,19.86743,COOL
18.94594,54.07881,14.64823,19.71007,COOL
19.7109,53.65563,14.77234,19.66351,COOL
20.99632,54.03266,15.16622,19.89912,COOL
23.69078,55.75226,15.07923,19.75217,COOL
28.8084,59.36643,14.42847,19.26933,COOL
34.21824,62.48925,14.6004,19.1806,COOL
35.86923,62.02753,15.35082,19.29435,COOL
34.9281,59.74302,16.27687,19.43609,COOL
32.69452,58.23199,16.24995,19.3943,COOL
29.28492,57.01185,15.25592,19.34913,COOL
26.54239,54.54726,14.87527,19.13815,COOL
21.1512,53.03373,14.23743,18.92198,COOL
20.04933,53.97659,13.89995,18.89305,COOL
19.2416,55.6767,13.94864,19.26293,COOL
18.9714,57.28736,14.0542,19.50316,COOL
19.26213,57.87198,14.09204,19.54925,COOL
19.23323,57.66828,13.97543,19.35126,COOL
20.14648,56.7582,14.04516,19.19186,COOL
23.65902,55.15889,14.21044,19.0916,COOL
27.7921,55.13008,14.11694,18.98142,COOL
27.50321,50.25698,15.30159,18.60549,COOL
25.83937,49.75852,15.55914,18.36413,COOL
20.40666,46.80602,15.63951,18.04391,COOL
17.37309,41.60069,18.54033,17.07029,COOL
15.94387,40.19144,19.17251,16.7103,COOL
15.63725,39.74268,19.54106,16.4811,COOL
14.95828,40.98,19.30165,16.84733,COOL
19.11646,51.98031,14.64849,18.44616,COOL
28.79914,54.96387,16.21792,20.34325,COOL
32.43877,51.52498,21.06713,22.24642,COOL
28.10199,47.07029,23.97217,22.21465,COOL
26.55821,47.67067,21.47098,21.8012,COOL
26.63006,48.95861,18.53314,21.02565,COOL
25.01558,50.18382,16.28216,20.32243,COOL
24.63244,52.09163,15.02413,19.65953,COOL
23.88058,53.0961,14.68926,19.41149,COOL
24.37265,54.18178,14.58004,19.22685,COOL
26.6074,55.52228,14.76595,19.24719,COOL
27.40419,55.75579,14.84658,19.2417,COOL
27.46503,55.79962,14.94807,19.32698,COOL
27.49133,56.39708,15.07413,19.414,COOL
27.7215,56.57972,15.24642,19.50527,COOL
28.63486,56.99076,15.18854,19.6745,COOL
29.79499,56.46811,15.10248,20.01841,COOL
31.05516,54.81784,15.56121,20.69464,COOL
28.33374,49.98705,16.56446,21.20267,COOL
26.0645,46.96535,17.30195,21.40775,COOL
25.50554,43.929,18.61368,22.02812,COOL
24.80789,43.52509,18.99134,22.45322,COOL
22.88509,43.40192,18.86266,22.61777,COOL
20.31834,44.53417,18.53341,22.89591,COOL
21.94808,46.46763,18.27863,23.13306,COOL
27.12152,48.10894,18.13163,22.73897,COOL
31.06752,49.23593,17.79005,22.06474,COOL
31.78065,49.05203,17.96496,21.67304,COOL
29.21646,47.51716,18.51722,21.51572,COOL
25.34985,45.6778,19.10394,21.35944,COOL
23.50019,46.67453,19.00043,21.08952,COOL
24.1065,50.62196,16.92875,20.91352,COOL
24.82114,54.35768,15.23898,19.59896,COOL
29.21417,58.28961,14.94904,19.32812,COOL
32.49158,61.83221,15.0456,19.37661,COOL
36.31857,65.29487,15.82101,19.75786,COOL
40.5513,66.24581,16.83862,19.91316,COOL
40.31303,64.08809,17.10431,20.12181,COOL
39.56772,60.52151,17.25693,20.39938,COOL
35.61923,55.73968,17.13245,20.29545,COOL
32.63108,55.29096,16.49679,20.02393,COOL
30.53375,56.32725,15.93366,19.96538,COOL
29.26615,57.73696,15.52472,19.9404,COOL
26.90815,61.29725,14.65243,20.01997,COOL
24.50105,63.62793,13.65182,20.1398,COOL
23.12712,64.55769,13.43835,20.2494,COOL
20.39145,62.95849,13.69946,20.36436,COOL
18.48265,60.36223,14.18103,20.46299,COOL
18.89011,58.39453,14.55759,20.4628,COOL
22.02531,59.04386,14.43218,20.03085,COOL
29.42853,62.37532,13.93971,19.10235,COOL
30.51884,62.66363,13.74767,18.35173,COOL
29.19283,62.24538,13.74892,18.10475,COOL
16.95082,50.15514,14.89481,18.74905,COOL
15.52045,46.88552,17.02305,19.39536,COOL
8.811623,44.50026,16.42166,19.5607,COOL
16.43233,49.67365,14.97515,19.28068,COOL
33.79028,60.20494,14.92266,19.0012,COOL
35.84158,62.90719,15.52802,19.69509,COOL
32.76046,60.13245,16.82134,21.07403,COOL
26.22752,55.09592,17.8406,22.57453,COOL
21.87103,53.19772,18.01111,23.00653,COOL
16.63963,50.01217,18.59313,23.81716,COOL
16.0814,50.08293,18.65762,24.1184,COOL
16.94865,53.49378,18.26567,24.01326,COOL
16.11354,55.41022,17.80046,23.90771,COOL
14.57474,55.47647,17.20675,23.49438,COOL
13.97926,55.15695,16.99684,23.14837,COOL
14.00414,54.08907,16.97319,22.89893,COOL
15.07939,50.65163,17.9449,22.95011,COOL
18.14515,49.33489,18.80062,22.64748,COOL
26.29486,55.65622,14.6473,20.07393,COOL
28.80613,61.99941,12.64511,17.94327,COOL
28.45694,65.72688,12.722,15.98844,COOL
28.25603,63.77499,13.93687,16.1251,COOL
27.90942,59.58181,13.91942,15.98975,COOL
24.53882,55.47522,13.79422,17.16635,COOL
17.82294,51.23625,16.79508,19.00946,COOL
12.32298,48.93176,17.8437,18.67984,COOL
13.6117,52.25167,17.6029,19.00455,COOL
16.70865,56.89894,13.63372,18.79573,COOL
21.01981,62.16096,13.34972,18.34282,COOL
28.80404,64.75701,13.56671,18.62749,COOL
31.59136,63.39895,13.93657,18.97338,COOL
23.94125,57.25068,14.19697,19.57016,COOL
13.63156,49.78229,14.64114,20.10546,COOL
9.942595,46.86068,14.86445,20.36397,COOL
7.79581,45.76373,14.95415,20.38882,COOL
8.097546,46.31284,15.05501,20.35301,COOL
13.00483,50.58344,14.93639,20.10733,COOL
16.45719,54.0234,14.78722,19.81059,COOL
18.04476,55.2457,14.7752,19.52269,COOL
19.0707,55.9427,14.77424,19.39936,COOL
21.47498,57.54808,14.72242,19.37757,COOL
23.30145,59.45168,14.56826,19.32367,COOL
23.82375,60.53137,14.4793,19.35311,COOL
22.76347,60.01564,14.47136,19.3518,COOL
17.18257,54.94331,14.59825,19.65412,COOL
14.18733,52.0062,14.60165,19.88703,COOL
14.50109,52.87743,14.51888,19.89272,COOL
16.5237,55.5871,14.20157,19.86547,COOL
19.0156,58.32969,13.77958,19.69646,COOL
18.87225,58.23365,13.6892,19.61911,COOL
17.09777,55.54993,14.1827,19.49128,COOL
21.30769,56.6408,14.06091,18.7458,COOL
23.28864,58.00423,12.66599,17.79963,COOL
24.42714,58.40213,12.82109,18.15267,COOL
22.51793,55.12701,14.81009,20.03636,COOL
21.90442,54.71043,17.63261,22.15646,COOL
