THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
65.35223,68.74233,24.90816,61.33048,LOVE
66.03214,68.25835,24.50414,61.06553,LOVE
67.2492,66.45657,24.22613,60.5895,LOVE
68.49627,65.46326,24.23208,59.91829,LOVE
69.41237,65.15009,23.99834,59.42377,LOVE
68.69518,65.34718,23.54579,61.4518,LOVE
66.80626,65.6274,23.88704,61.55817,LOVE
65.56374,65.22396,24.10072,60.65736,LOVE
65.29117,65.22096,24.25946,60.50114,LOVE
65.20882,64.84917,24.22631,59.99513,LOVE
65.1799,64.99551,24.31962,59.78336,LOVE
65.13921,65.29359,24.39083,59.89053,LOVE
65.10342,65.8102,24.25105,60.63429,LOVE
65.20953,66.11688,24.26443,60.99004,LOVE
65.98545,66.61598,24.16842,62.02966,LOVE
66.47668,66.51163,24.12997,62.29122,LOVE
66.69449,65.98595,24.17675,62.21589,LOVE
66.82991,65.88942,24.35546,62.31227,LOVE
66.92873,66.04913,24.50427,62.22845,LOVE
66.87353,65.81537,24.35675,62.01408,LOVE
66.8709,65.09849,23.97912,61.55701,LOVE
66.40773,65.45788,24.04975,61.47402,LOVE
66.48866,67.11674,25.25517,60.88291,LOVE
66.49329,67.86591,26.25426,60.23242,LOVE
66.78719,68.36572,27.45204,59.20042,LOVE
66.78412,68.23761,27.65504,58.79134,LOVE
66.455,68.04501,27.42285,58.88192,LOVE
66.13637,67.56446,26.91548,59.27574,LOVE
66.05286,67.13158,26.48771,59.74006,LOVE
66.29342,66.83769,26.20626,60.06851,LOVE
66.4438,65.96333,25.18234,60.60071,LOVE
66.38715,64.95134,23.99127,61.38925,LOVE
67.03209,64.92013,23.58641,61.86063,LOVE
67.94968,66.63337,22.02082,61.36472,LOVE
70.4455,70.6292,22.67253,60.72159,LOVE
71.41868,72.33068,23.51597,60.42142,LOVE
72.21556,74.09929,25.10028,59.46163,LOVE
72.06966,74.02715,25.8085,59.16518,LOVE
71.59216,73.21143,25.59237,59.07051,LOVE
70.29021,71.34149,23.30193,60.72598,LOVE
69.57674,70.43024,22.29159,62.4365,LOVE
68.4205,69.23779,23.07913,62.91092,LOVE
66.94781,68.12318,23.81778,63.08385,LOVE
63.84478,66.82334,25.11364,63.37896,LOVE
61.05807,66.50039,25.38073,62.93201,LOVE
56.29041,66.66499,25.80201,62.45836,LOVE
53.46085,66.8177,26.18228,62.15065,LOVE
51.30177,67.06668,26.63837,61.91447,LOVE
49.2515,67.42014,26.23994,62.22412,LOVE
48.88878,67.70438,25.80433,62.72647,LOVE
48.9613,67.88536,25.33656,63.19513,LOVE
49.5687,68.40662,24.80903,63.67579,LOVE
49.98212,68.7457,24.77105,63.64355,LOVE
50.2164,68.96855,24.92719,63.47134,LOVE
50.27072,68.99976,25.1673,63.18766,LOVE
50.35791,68.76151,25.42131,62.82334,LOVE
50.20127,68.23216,25.62617,62.14133,LOVE
49.46021,67.79561,25.17133,61.51218,LOVE
48.51185,67.72524,24.3528,61.45922,LOVE
48.3014,67.21742,22.77236,62.38694,LOVE
48.44139,66.2839,21.43529,63.54711,LOVE
48.32541,65.3886,20.46213,64.49664,LOVE
48.22288,65.03265,20.02296,65.164,LOVE
48.07718,64.9118,19.75914,65.88715,LOVE
47.70891,65.43886,19.89673,66.36544,LOVE
47.58283,65.71493,20.06036,66.66667,LOVE
46.86734,65.89151,19.92919,66.9597,LOVE
46.41594,66.06466,19.90363,67.24618,LOVE
46.20143,66.26045,19.85135,67.38757,LOVE
45.94516,66.80058,19.73616,67.59926,LOVE
45.12297,67.06496,19.88194,67.55508,LOVE
44.9469,66.94227,19.95572,67.55988,LOVE
45.28356,66.7374,20.09514,67.68714,LOVE
45.83019,66.63337,20.4116,67.89672,LOVE
50.56739,64.21057,21.77689,62.98338,LOVE
51.92613,62.45544,23.14804,58.35674,LOVE
52.3649,61.44442,23.64954,57.26738,LOVE
51.43344,53.41222,26.05666,54.86678,LOVE
51.78881,48.98653,28.21596,53.50074,LOVE
52.01288,47.22219,28.98148,53.41916,LOVE
52.653,46.30874,28.81064,54.17513,LOVE
53.44832,47.99263,28.11177,55.17592,LOVE
53.3884,51.34087,26.75976,56.44751,LOVE
54.45816,56.83221,25.05674,58.93093,LOVE
56.12453,62.30966,22.94206,61.58868,LOVE
53.51079,67.34535,22.50307,64.40058,LOVE
52.75085,66.93636,22.27061,63.93018,LOVE
52.81909,66.3233,21.96449,62.09756,LOVE
54.00995,67.20221,22.47063,62.1674,LOVE
55.31344,68.61015,23.0868,62.4861,LOVE
55.8931,69.36733,23.5787,61.7382,LOVE
55.95863,68.67758,23.92076,59.80275,LOVE
55.98852,66.42147,24.0021,57.99297,LOVE
55.97952,63.31861,23.51866,56.37997,LOVE
56.05807,62.00093,23.30906,55.28148,LOVE
55.90607,59.01053,22.34326,54.6311,LOVE
56.11266,54.778,21.42039,54.68175,LOVE
55.85886,51.93712,21.56024,56.35361,LOVE
55.25951,53.63465,22.93945,57.26669,LOVE
54.38432,55.51719,24.19592,58.87803,LOVE
54.79432,56.82182,25.16183,59.88127,LOVE
57.35906,58.65952,25.71777,60.16936,LOVE
54.64543,61.59015,26.15805,59.37145,LOVE
56.07915,63.24149,24.69303,57.00775,LOVE
59.999,63.7795,22.68448,55.82329,LOVE
65.4808,64.8474,21.96358,57.4834,LOVE
69.81276,67.10743,21.64149,60.69134,LOVE
72.51484,68.49843,22.03854,63.59443,LOVE
73.28477,69.24311,22.43411,65.68825,LOVE
72.71667,69.09747,22.84714,66.33147,LOVE
71.58351,68.72402,22.82863,66.2801,LOVE
70.63974,68.26977,23.00975,65.69231,LOVE
69.24512,67.41712,22.83851,64.31364,LOVE
67.60107,65.98847,22.7815,62.58848,LOVE
66.25386,64.1879,23.07892,61.03443,LOVE
65.29597,62.85514,23.40575,60.50906,LOVE
64.35271,61.78988,22.79979,59.74008,LOVE
64.17641,62.69465,22.37946,58.95884,LOVE
65.32507,64.40542,22.3874,58.11126,LOVE
66.70721,65.46378,22.34503,58.36723,LOVE
67.25668,65.6629,22.16406,58.9397,LOVE
67.72668,65.7579,21.91492,59.59608,LOVE
67.38476,65.87826,21.59157,59.59249,LOVE
67.07648,65.69355,21.28058,60.14372,LOVE
66.66947,64.6328,21.05827,60.89133,LOVE
65.60871,64.0178,22.10249,61.64013,LOVE
64.38413,64.62254,22.39743,62.36757,LOVE
61.38827,66.25375,23.5993,62.19239,LOVE
60.2016,66.62442,24.2177,61.04893,LOVE
59.31242,66.58672,24.85382,59.47314,LOVE
59.40949,66.51834,25.35714,58.23334,LOVE
60.47353,66.28322,24.92728,58.96784,LOVE
60.96244,65.65311,24.09614,59.33986,LOVE
63.49796,64.06803,23.01767,58.68303,LOVE
64.52569,64.07858,22.76951,58.32821,LOVE
65.62927,64.84694,22.23357,58.48289,LOVE
