THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
44.47529,13.64312,13.09518,20.286,OPEN
44.38348,13.57271,13.08695,20.23841,OPEN
44.34269,13.53179,13.12122,20.25608,OPEN
44.27425,13.51736,13.18268,20.2763,OPEN
44.14256,13.4575,13.31202,20.29981,OPEN
44.02907,13.42237,13.3166,20.26477,OPEN
43.86851,13.37239,13.2558,20.16385,OPEN
43.87149,13.39928,13.26777,20.16806,OPEN
43.86236,13.45414,13.30719,20.19658,OPEN
43.86906,13.55872,13.40451,20.28715,OPEN
43.8625,13.56643,13.43098,20.33048,OPEN
43.93159,13.56951,13.48017,20.3815,OPEN
43.92436,13.56269,13.50765,20.4087,OPEN
43.94431,13.50531,13.4071,20.30364,OPEN
44.05994,13.20959,13.19099,20.13072,OPEN
44.15888,12.93634,13.05965,19.95711,OPEN
44.21385,12.7831,13.04465,19.79433,OPEN
44.11044,12.89495,13.12798,19.81771,OPEN
44.08613,13.01305,13.23988,19.86065,OPEN
44.05056,13.06205,13.31789,19.89577,OPEN
44.09277,13.17086,13.47734,20.02467,OPEN
44.00254,13.25928,13.68935,20.14255,OPEN
44.02056,13.33354,13.85181,20.22667,OPEN
44.17346,13.3588,13.85549,20.27653,OPEN
44.39848,13.34575,13.73513,20.23604,OPEN
44.44855,13.31193,13.67739,20.20093,OPEN
44.42615,13.29105,13.62472,20.16804,OPEN
44.39758,13.28696,13.62423,20.16875,OPEN
44.3868,13.30224,13.62966,20.15034,OPEN
44.33733,13.31889,13.69496,20.14892,OPEN
44.31139,13.29654,13.72047,20.16635,OPEN
44.3202,13.28093,13.73933,20.18127,OPEN
44.33735,13.27235,13.72729,20.18373,OPEN
44.40467,13.28289,13.71824,20.15163,OPEN
44.59642,13.3468,13.79206,20.16217,OPEN
44.97161,13.39055,13.84405,20.2086,OPEN
47.38164,13.43174,13.88179,20.46454,OPEN
50.59689,13.41908,13.69389,20.73397,OPEN
55.42795,13.48386,13.39096,20.97561,OPEN
59.46019,13.61872,13.22296,21.0728,OPEN
65.73165,13.8801,13.03704,21.11547,OPEN
68.58371,14.01676,13.01225,21.14155,OPEN
69.3953,14.08752,13.05203,21.11894,OPEN
69.75301,14.07945,13.12958,20.9719,OPEN
69.9481,14.01453,13.14587,20.82519,OPEN
70.18883,13.90836,13.12025,20.64929,OPEN
70.46375,13.79568,13.0346,20.49405,OPEN
70.61013,13.78298,13.05108,20.40721,OPEN
70.67222,13.79015,13.07373,20.3143,OPEN
70.76804,13.77824,13.06016,20.25752,OPEN
70.82867,13.78812,13.08054,20.25721,OPEN
70.87628,13.84092,13.12267,20.28184,OPEN
70.84912,13.87828,13.15313,20.29565,OPEN
70.86086,13.89751,13.14297,20.29291,OPEN
70.81326,13.8715,13.06521,20.21644,OPEN
70.95687,13.78544,12.94618,20.14274,OPEN
71.05531,13.72293,12.85371,20.10057,OPEN
71.01353,13.83129,12.848,20.13272,OPEN
70.95006,13.85626,12.85702,20.15287,OPEN
70.96465,13.80543,12.85096,20.15537,OPEN
71.062,13.73529,12.81259,20.12676,OPEN
71.04076,13.72294,12.77305,20.08477,OPEN
70.93191,13.76467,12.76562,20.09717,OPEN
70.80471,13.87524,12.79031,20.21347,OPEN
70.09732,14.36479,13.10826,20.61592,OPEN
69.65897,14.58853,13.26686,20.83509,OPEN
69.23662,14.67514,13.30879,20.99915,OPEN
68.54916,14.70244,13.24398,21.17493,OPEN
67.04897,14.70167,13.10228,21.34065,OPEN
63.60518,14.59685,12.93233,21.34353,OPEN
59.75723,14.45414,12.80662,21.23026,OPEN
56.66198,14.32138,12.80893,21.13171,OPEN
53.84659,14.30144,12.97681,21.06609,OPEN
51.248,14.37263,13.21894,21.01074,OPEN
49.7395,14.49397,13.34526,20.96418,OPEN
47.12824,14.74951,13.49119,20.8992,OPEN
46.04001,14.8003,13.44373,20.84053,OPEN
44.2915,14.73792,13.31841,20.72444,OPEN
42.72111,14.61141,13.21339,20.57749,OPEN
41.55483,14.5531,13.03779,20.51225,OPEN
40.52054,14.54781,12.90081,20.4661,OPEN
39.92786,14.55756,12.77415,20.45771,OPEN
37.51273,14.53572,12.15719,20.38655,OPEN
36.34853,14.5096,11.91674,20.30111,OPEN
34.85292,14.49641,11.65165,20.16258,OPEN
33.68156,14.49389,11.49081,20.00767,OPEN
32.53892,14.51989,11.34092,19.87894,OPEN
31.4171,14.57997,11.22755,19.81159,OPEN
30.3202,14.60634,11.13979,19.75708,OPEN
29.27026,14.6691,11.12274,19.78719,OPEN
28.20449,14.71497,11.08942,19.76634,OPEN
27.14783,14.74221,11.08724,19.67407,OPEN
26.95317,14.61849,11.04473,19.56395,OPEN
31.47906,13.90449,11.24864,19.36674,OPEN
39.19053,13.43704,12.30506,19.69742,OPEN
44.2001,13.21029,12.91093,20.00134,OPEN
45.52241,13.32001,12.96237,20.17325,OPEN
45.75868,13.38005,12.90357,20.24192,OPEN
47.13389,13.82907,13.33002,20.61693,OPEN
47.89392,14.03083,13.31095,20.46121,OPEN
49.15319,14.1615,13.31057,20.35914,OPEN
49.19695,13.58115,12.74774,19.10085,OPEN
49.69056,13.16848,12.37416,18.37264,OPEN
51.92252,13.13681,12.47027,18.58915,OPEN
