THUMB_POS_X,THUMB_POS_Y,THUMB_POS_Z,INDEX_POS_X,INDEX_POS_Y,INDEX_POS_Z,MIDDLE_POS_X,MIDDLE_POS_Y,MIDDLE_POS_Z,RING_POS_X,RING_POS_Y,RING_POS_Z,PINKY_POS_X,PINKY_POS_Y,PINKY_POS_Z
-0.04182351,0.06559274,-0.02585357,-0.007832572,0.1157794,0.00855881,-0.01399448,0.1147822,0.03560454,-0.03659243,0.0230476,0.003800154,-0.03484052,0.006584674,0.01218489,TWO
-0.04226075,0.06632909,-0.02601713,-0.007669099,0.1159604,0.008632988,-0.01334276,0.1145553,0.03618288,-0.03444357,0.01698703,0.003440142,-0.03298494,0.005512476,0.01419586,TWO
-0.04186981,0.06675616,-0.02626649,-0.007677585,0.1160084,0.008720517,-0.013816,0.1142796,0.03643462,-0.03365028,0.01486477,0.002953231,-0.0324665,0.005171925,0.01440454,TWO
-0.04154082,0.06696242,-0.02620104,-0.00750757,0.1160226,0.009061128,-0.01399301,0.1140899,0.03685901,-0.03333327,0.01423624,0.002622962,-0.03235818,0.00501743,0.01422688,TWO
-0.04166538,0.06674126,-0.02530444,-0.007759683,0.1160538,0.009660035,-0.01504288,0.1137274,0.0373964,-0.03288659,0.01386842,0.002093315,-0.03266145,0.005075037,0.01337582,TWO
-0.04154059,0.06637925,-0.02519706,-0.007664524,0.1160192,0.01001015,-0.01519591,0.1136877,0.0377377,-0.03254612,0.01270199,0.0004813671,-0.03283315,0.004962295,0.0126704,TWO
-0.04116584,0.06621364,-0.0248757,-0.007695615,0.1159202,0.01078668,-0.01549031,0.1135262,0.03836936,-0.03285199,0.01201454,-0.001334101,-0.03309153,0.005054474,0.01205552,TWO
-0.04018752,0.06628215,-0.02480599,-0.007295765,0.1158807,0.01132891,-0.01559728,0.1135067,0.03856006,-0.03293338,0.01179478,-0.002960294,-0.03356326,0.005419493,0.01103613,TWO
-0.03905921,0.06642938,-0.02447918,-0.006524853,0.1158356,0.01187131,-0.01556596,0.1135096,0.03849366,-0.03319215,0.01169908,-0.004895478,-0.03374799,0.005731881,0.009862185,TWO
-0.03849786,0.06653848,-0.02384427,-0.006301515,0.1157175,0.01266545,-0.01595158,0.1132823,0.03868929,-0.03335058,0.01137891,-0.006278336,-0.03368837,0.005728334,0.009243399,TWO
-0.03837524,0.06640247,-0.02294001,-0.006347075,0.1156209,0.01318488,-0.01656292,0.1130252,0.03874362,-0.0334758,0.01113412,-0.007111818,-0.03358924,0.00570339,0.008896708,TWO
-0.03843749,0.06599203,-0.02227944,-0.006292403,0.1156353,0.01277995,-0.0170406,0.1130828,0.03793964,-0.03345543,0.01106897,-0.007534027,-0.0334898,0.005704165,0.008567542,TWO
-0.0384099,0.06573522,-0.02180272,-0.006106853,0.1156407,0.0125193,-0.01729388,0.113153,0.03720695,-0.03324752,0.01096708,-0.007779658,-0.03331932,0.005648315,0.008367598,TWO
-0.0384729,0.06556746,-0.02172256,-0.006238967,0.11566,0.01216483,-0.01773231,0.1132545,0.03640556,-0.0328262,0.01059574,-0.007906497,-0.0330735,0.005361736,0.008283794,TWO
-0.03823992,0.06561989,-0.02184987,-0.006264284,0.1156591,0.01217961,-0.01810241,0.1132941,0.03597695,-0.03241371,0.01031575,-0.008072704,-0.03295091,0.005112737,0.008102447,TWO
-0.03676426,0.06628329,-0.02203354,-0.005160697,0.1156337,0.01299763,-0.01783715,0.1133257,0.03563908,-0.03159171,0.01027557,-0.008705765,-0.03282084,0.005079895,0.00739345,TWO
-0.03571901,0.06679296,-0.02195942,-0.003997684,0.115655,0.01383108,-0.01746587,0.1132481,0.03588277,-0.03117704,0.01061824,-0.008996218,-0.03286751,0.005273163,0.0069592,TWO
-0.03528522,0.06687367,-0.0210894,-0.002707839,0.115638,0.01483324,-0.01696567,0.1130916,0.03646407,-0.03092419,0.01105607,-0.009254307,-0.03292608,0.005587429,0.006612569,TWO
-0.03528234,0.06651092,-0.02021205,-0.001926586,0.1155919,0.01569808,-0.01696806,0.1128927,0.03700459,-0.03070201,0.01142967,-0.00959599,-0.03299627,0.005867928,0.006206572,TWO
-0.03565279,0.06570822,-0.01960498,-0.001531497,0.1155913,0.01642889,-0.01756747,0.1126111,0.03786346,-0.03049935,0.01192117,-0.01016673,-0.03316503,0.00620845,0.005584151,TWO
-0.03517042,0.06514868,-0.02013275,0.0006728619,0.1158861,0.01629385,-0.01672554,0.1128072,0.0386171,-0.03017329,0.0127396,-0.01091954,-0.03336598,0.006990045,0.004832298,TWO
-0.03436039,0.06547326,-0.0203048,0.003314286,0.1161259,0.01550981,-0.01428793,0.1133153,0.03855208,-0.0300149,0.01307884,-0.01061738,-0.03320883,0.007479072,0.005127937,TWO
-0.03163695,0.06621304,-0.02121603,0.01172197,0.1163259,0.01257294,-0.006716773,0.11483,0.03697914,-0.02950381,0.01455334,-0.01034197,-0.0327501,0.009461761,0.005585253,TWO
-0.03004014,0.06607261,-0.02152559,0.01686691,0.1158128,0.01207328,-0.001030274,0.1156737,0.03603804,-0.02854712,0.01563022,-0.01083031,-0.03248131,0.01100793,0.005035192,TWO
